property_id,seating_type,industry_anzsic4_code,location_zip,clue_small_area,trading_name,x_coordinate,location_address,location_city,location_state,number_of_seats,ogc_fid,industry_anzsic4_description,y_coordinate,census_year,street_address, base_property_id,block_id
"104449","Seats - Outdoor","4511",null,"Carlton","Roy's Cafe","144.9656241",null,null,null,"21",4,"Cafes and Restaurants","-37.80080042","2017","117 Grattan Street","104449","246"
"110095","Seats - Outdoor","4512",null,"Melbourne (CBD)","Zuppa","144.9578132",null,null,null,"6",22,"Takeaway Food Services","-37.81636534","2017","555 Bourke Street","101155","42"
"105726","Seats - Indoor","4511",null,"Melbourne (CBD)","Donoghue's ","144.9560169",null,null,null,"50",29,"Cafes and Restaurants","-37.8134766","2017","550 Lonsdale Street","110707","72"
"103176","Seats - Indoor","4511",null,"Melbourne (CBD)","Subway","144.9634979",null,null,null,"16",39,"Cafes and Restaurants","-37.81592157","2017","97-103 Elizabeth Street","103176","34"
"110688","Seats - Indoor","4512",null,"Melbourne (CBD)","Funk Fish","144.9572395",null,null,null,"24",58,"Takeaway Food Services","-37.80745984","2017","65-81 Victoria Street","108118","113"
"592048","Seats - Outdoor","4511",null,"Melbourne (CBD)","La Di Da","144.9556244",null,null,null,"80",80,"Cafes and Restaurants","-37.81551353","2017","188-202 King Street","592048","52"
"110326","Seats - Outdoor","4511",null,"Southbank","Hopscotch","144.9633758",null,null,null,"200",100,"Cafes and Restaurants","-37.82092509","2017","4 Riverside Quay","110326","801"
"110669","Seats - Indoor","4512",null,"Melbourne (CBD)","Viet St","144.9629844",null,null,null,"5",128,"Takeaway Food Services","-37.81570426","2017","353-359 Little Collins Street","110669","34"
"103704","Seats - Outdoor","4511",null,"Carlton","Yo-Chi","144.9680207",null,null,null,"24",131,"Cafes and Restaurants","-37.79844782","2017","194-196 Faraday Street","103704","217"
"599505","Seats - Indoor","4511",null,"Docklands","Origami Sushi & Noodles ","144.947217",null,null,null,"12",171,"Cafes and Restaurants","-37.81817241","2017","744-770 Bourke Street","573403","1103"
"111456","Seats - Outdoor","4511",null,"East Melbourne","The Pavilion","144.9804557",null,null,null,"86",181,"Cafes and Restaurants","-37.81296163","2017"," Wellington Parade","103807","619"
"108973","Seats - Indoor","4512",null,"Docklands","Sumo Salad","144.9523393",null,null,null,"12",189,"Takeaway Food Services","-37.81815358","2017","85-161 Spencer Street","108973","1101"
"103997","Seats - Outdoor","4511",null,"Melbourne (CBD)","Riverside Deli & Coffee House","144.9582721",null,null,null,"12",192,"Cafes and Restaurants","-37.81974184","2017","472-482 Flinders Street","103997","12"
"105606","Seats - Indoor","4511",null,"North Melbourne","Di Bella Coffee","144.9505945",null,null,null,"60",195,"Cafes and Restaurants","-37.80447359","2017","19-21 Leveson Street","105606","354"
"102034","Seats - Indoor","4511",null,"North Melbourne","Yeonga","144.956923",null,null,null,"96",198,"Cafes and Restaurants","-37.80560474","2017","1-3 Cobden Street","102034","360"
"104660","Seats - Outdoor","4511",null,"Melbourne (CBD)","Amigos Hardware Lane","144.9608667",null,null,null,"44",200,"Cafes and Restaurants","-37.8131434","2017","75-77 Hardware Lane","104660","64"
"103809","Seats - Outdoor","4520",null,"North Melbourne","Turf Club Hotel ","144.9563792",null,null,null,"64",243,"Pubs, Taverns and Bars","-37.80130394","2017","1-3 Flemington Road","103809","375"
"603923","Seats - Indoor","4511",null,"Melbourne (CBD)","Degani At Urban Workshop","144.9707325",null,null,null,"36",246,"Cafes and Restaurants","-37.8091842","2017","32-54 Lonsdale Street","580091","78"
"109209","Seats - Indoor","4511",null,"Parkville","University High School Canteen","144.9560633",null,null,null,"100",248,"Cafes and Restaurants","-37.79746671","2017","77 Story Street","109209","921"
"104014","Seats - Indoor","4511",null,"Melbourne (CBD)","Alice Nevins","144.9665517",null,null,null,"10",262,"Cafes and Restaurants","-37.81724878","2017","228-236 Flinders Street","104014","15"
"109390","Seats - Outdoor","4520",null,"Melbourne (CBD)","Goldilocks","144.9651474",null,null,null,"40",268,"Pubs, Taverns and Bars","-37.81181063","2017","264-266 Swanston Street","109390","66"
"588500","Seats - Outdoor","4511",null,"Melbourne (CBD)","Blu Point Caffe","144.9664575",null,null,null,"26",276,"Cafes and Restaurants","-37.80822377","2017","336 Russell Street","108562","97"
"107975","Seats - Indoor","4511",null,"North Melbourne","Elceed Cafe","144.9471385",null,null,null,"24",281,"Cafes and Restaurants","-37.80252643","2017","610 Queensberry Street","107975","333"
"104010","Seats - Indoor","4511",null,"Melbourne (CBD)","Sea Salt","144.9656264",null,null,null,"26",298,"Cafes and Restaurants","-37.81760781","2017","256-268 Flinders Street","104010","15"
"104450","Seats - Indoor","4512",null,"Carlton","Domino's Pizza","144.9651037",null,null,null,"15",300,"Takeaway Food Services","-37.80077102","2017","251-257 Cardigan Street","104450","245"
"106559","Seats - Indoor","4520",null,"Melbourne (CBD)","Meyers Place Bar","144.9723505",null,null,null,"63",312,"Pubs, Taverns and Bars","-37.81207814","2017","20 Meyers Place","106559","48"
"101172","Seats - Outdoor","4511",null,"Melbourne (CBD)","The Attic, Artisan Bread And Cafe","144.9561073",null,null,null,"6",313,"Cafes and Restaurants","-37.81571393","2017","578-606 Bourke Street","101172","52"
"102788","Seats - Indoor","4512",null,"North Melbourne","North Melbourne Takeaway & Snack Bar","144.9429106",null,null,null,"12",314,"Takeaway Food Services","-37.80428921","2017","95 Dryburgh Street","102788","340"
"103033","Seats - Outdoor","4511",null,"Kensington","Taco Bill","144.9315233",null,null,null,"12",323,"Cafes and Restaurants","-37.79484451","2017","457-469 Macaulay Road","103033","513"
"101789","Seats - Outdoor","4512",null,"Melbourne (CBD)","3 Lt Monkeys","144.9655966",null,null,null,"4",329,"Takeaway Food Services","-37.8166033","2017","252-254 Flinders Lane","101789","25"
